title,text,label
Banks planning to seize all personal accounts next week,Exclusive sources from inside the organization have confirmed what conspiracy theorists have been saying for years. The mainstream media will not report this because they are controlled by the same people who are behind this cover-up. Exclusive sources from inside the organization have confirmed what conspiracy theorists have been saying for years. The mainstream media will not report this because they are controlled by the same people who are behind this cover-up.,1
Scientists CONFIRM vaccines cause autism in new study that mainstream media won't show you,An anonymous insider with top-level security clearance has gone on record to expose the lies we have been told our entire lives. The evidence is overwhelming and irrefutable. Do your own research and wake up to what is happening. An anonymous insider with top-level security clearance has gone on record to expose the lies we have been told our entire lives. The evidence is overwhelming and irrefutable. Do your own research and wake up to what is happening.,1
Federal Reserve raises interest rates by 0.25 percent amid inflation concerns,"According to official statements released on Tuesday, the decision was made following extensive review by a committee of experts. The move is expected to have significant implications for the sector in the coming months. According to official statements released on Tuesday, the decision was made following extensive review by a committee of experts. The move is expected to have significant implications for the sector in the coming months.",0
"Democrats planning to ban all guns by end of month, secret memo leaked",Sources close to the government have revealed shocking information that mainstream media refuses to cover. Multiple whistleblowers have come forward with evidence that cannot be ignored by anyone who is paying attention to what is really going on in our world today. Sources close to the government have revealed shocking information that mainstream media refuses to cover. Multiple whistleblowers have come forward with evidence that cannot be ignored by anyone who is paying attention to what is really going on in our world today.,1
Doctor reveals drinking bleach can cure COVID-19,New documents released by a courageous whistleblower reveal the shocking extent of the deception. Millions of Americans have been kept in the dark about this for decades. The truth can no longer be hidden from the public. New documents released by a courageous whistleblower reveal the shocking extent of the deception. Millions of Americans have been kept in the dark about this for decades. The truth can no longer be hidden from the public.,1
New world order meeting held in secret underground bunker confirmed,New documents released by a courageous whistleblower reveal the shocking extent of the deception. Millions of Americans have been kept in the dark about this for decades. The truth can no longer be hidden from the public. New documents released by a courageous whistleblower reveal the shocking extent of the deception. Millions of Americans have been kept in the dark about this for decades. The truth can no longer be hidden from the public.,1
Study finds Mediterranean diet linked to improved heart health outcomes,"The findings, published in a peer-reviewed journal, represent months of careful research by a team of specialists. The study involved participants from multiple regions and followed established scientific protocols. The findings, published in a peer-reviewed journal, represent months of careful research by a team of specialists. The study involved participants from multiple regions and followed established scientific protocols.",0
Tech company announces quarterly earnings above analyst expectations,"In a press conference held at the organization headquarters, officials outlined the key details of the announcement. Experts in the field have offered mixed reactions, with some calling it a positive development and others raising concerns. In a press conference held at the organization headquarters, officials outlined the key details of the announcement. Experts in the field have offered mixed reactions, with some calling it a positive development and others raising concerns.",0
Weather service issues warning for potential winter storm next week,"According to official statements released on Tuesday, the decision was made following extensive review by a committee of experts. The move is expected to have significant implications for the sector in the coming months. According to official statements released on Tuesday, the decision was made following extensive review by a committee of experts. The move is expected to have significant implications for the sector in the coming months.",0
Banks planning to seize all personal accounts next week,New documents released by a courageous whistleblower reveal the shocking extent of the deception. Millions of Americans have been kept in the dark about this for decades. The truth can no longer be hidden from the public. New documents released by a courageous whistleblower reveal the shocking extent of the deception. Millions of Americans have been kept in the dark about this for decades. The truth can no longer be hidden from the public.,1
Mainstream media admits to fabricating all news stories since 2010,A leaked document obtained by independent researchers shows what the deep state does not want you to know. Share this before it gets deleted. The truth is being suppressed by powerful interests who control what you see and hear. A leaked document obtained by independent researchers shows what the deep state does not want you to know. Share this before it gets deleted. The truth is being suppressed by powerful interests who control what you see and hear.,1
Global elite planning to reduce world population by 90 percent,Sources close to the government have revealed shocking information that mainstream media refuses to cover. Multiple whistleblowers have come forward with evidence that cannot be ignored by anyone who is paying attention to what is really going on in our world today. Sources close to the government have revealed shocking information that mainstream media refuses to cover. Multiple whistleblowers have come forward with evidence that cannot be ignored by anyone who is paying attention to what is really going on in our world today.,1
Aliens working with government confirmed by whistleblower,Sources close to the government have revealed shocking information that mainstream media refuses to cover. Multiple whistleblowers have come forward with evidence that cannot be ignored by anyone who is paying attention to what is really going on in our world today. Sources close to the government have revealed shocking information that mainstream media refuses to cover. Multiple whistleblowers have come forward with evidence that cannot be ignored by anyone who is paying attention to what is really going on in our world today.,1
Researchers publish findings on effectiveness of new diabetes medication,"According to official statements released on Tuesday, the decision was made following extensive review by a committee of experts. The move is expected to have significant implications for the sector in the coming months. According to official statements released on Tuesday, the decision was made following extensive review by a committee of experts. The move is expected to have significant implications for the sector in the coming months.",0
Secret treaty hands US sovereignty to United Nations,New documents released by a courageous whistleblower reveal the shocking extent of the deception. Millions of Americans have been kept in the dark about this for decades. The truth can no longer be hidden from the public. New documents released by a courageous whistleblower reveal the shocking extent of the deception. Millions of Americans have been kept in the dark about this for decades. The truth can no longer be hidden from the public.,1
"Democrats planning to ban all guns by end of month, secret memo leaked",A leaked document obtained by independent researchers shows what the deep state does not want you to know. Share this before it gets deleted. The truth is being suppressed by powerful interests who control what you see and hear. A leaked document obtained by independent researchers shows what the deep state does not want you to know. Share this before it gets deleted. The truth is being suppressed by powerful interests who control what you see and hear.,1
Local hospital opens new cancer treatment center after fundraising campaign,"Government officials confirmed the policy change in an official statement, noting that the decision was reached after consultation with relevant stakeholders. Implementation is expected to begin in the next fiscal quarter. Government officials confirmed the policy change in an official statement, noting that the decision was reached after consultation with relevant stakeholders. Implementation is expected to begin in the next fiscal quarter.",0
New legislation aims to reduce carbon emissions from industrial sector,"Government officials confirmed the policy change in an official statement, noting that the decision was reached after consultation with relevant stakeholders. Implementation is expected to begin in the next fiscal quarter. Government officials confirmed the policy change in an official statement, noting that the decision was reached after consultation with relevant stakeholders. Implementation is expected to begin in the next fiscal quarter.",0
Scientists CONFIRM vaccines cause autism in new study that mainstream media won't show you,A leaked document obtained by independent researchers shows what the deep state does not want you to know. Share this before it gets deleted. The truth is being suppressed by powerful interests who control what you see and hear. A leaked document obtained by independent researchers shows what the deep state does not want you to know. Share this before it gets deleted. The truth is being suppressed by powerful interests who control what you see and hear.,1
Public health officials report decline in flu cases this season,"In a press conference held at the organization headquarters, officials outlined the key details of the announcement. Experts in the field have offered mixed reactions, with some calling it a positive development and others raising concerns. In a press conference held at the organization headquarters, officials outlined the key details of the announcement. Experts in the field have offered mixed reactions, with some calling it a positive development and others raising concerns.",0
Study finds Mediterranean diet linked to improved heart health outcomes,"According to official statements released on Tuesday, the decision was made following extensive review by a committee of experts. The move is expected to have significant implications for the sector in the coming months. According to official statements released on Tuesday, the decision was made following extensive review by a committee of experts. The move is expected to have significant implications for the sector in the coming months.",0
University researchers develop more efficient solar panel technology,"The report, compiled from data gathered over the past two years, presents a comprehensive analysis of trends in the industry. Analysts say the results align with broader economic patterns observed in recent quarters. The report, compiled from data gathered over the past two years, presents a comprehensive analysis of trends in the industry. Analysts say the results align with broader economic patterns observed in recent quarters.",0
Hollywood celebrity arrested for running child trafficking ring,Exclusive sources from inside the organization have confirmed what conspiracy theorists have been saying for years. The mainstream media will not report this because they are controlled by the same people who are behind this cover-up. Exclusive sources from inside the organization have confirmed what conspiracy theorists have been saying for years. The mainstream media will not report this because they are controlled by the same people who are behind this cover-up.,1
"Central bank holds interest rates steady, cites economic uncertainty","The report, compiled from data gathered over the past two years, presents a comprehensive analysis of trends in the industry. Analysts say the results align with broader economic patterns observed in recent quarters. The report, compiled from data gathered over the past two years, presents a comprehensive analysis of trends in the industry. Analysts say the results align with broader economic patterns observed in recent quarters.",0
LEAKED: CIA documents prove moon landing was filmed in Hollywood,Exclusive sources from inside the organization have confirmed what conspiracy theorists have been saying for years. The mainstream media will not report this because they are controlled by the same people who are behind this cover-up. Exclusive sources from inside the organization have confirmed what conspiracy theorists have been saying for years. The mainstream media will not report this because they are controlled by the same people who are behind this cover-up.,1
"Earth is actually flat, NASA whistleblower reveals the truth",Sources close to the government have revealed shocking information that mainstream media refuses to cover. Multiple whistleblowers have come forward with evidence that cannot be ignored by anyone who is paying attention to what is really going on in our world today. Sources close to the government have revealed shocking information that mainstream media refuses to cover. Multiple whistleblowers have come forward with evidence that cannot be ignored by anyone who is paying attention to what is really going on in our world today.,1
Archaeologists uncover ancient settlement during highway construction project,"The findings, published in a peer-reviewed journal, represent months of careful research by a team of specialists. The study involved participants from multiple regions and followed established scientific protocols. The findings, published in a peer-reviewed journal, represent months of careful research by a team of specialists. The study involved participants from multiple regions and followed established scientific protocols.",0
Bill Gates admits microchips inserted into COVID vaccines in secret recording,New documents released by a courageous whistleblower reveal the shocking extent of the deception. Millions of Americans have been kept in the dark about this for decades. The truth can no longer be hidden from the public. New documents released by a courageous whistleblower reveal the shocking extent of the deception. Millions of Americans have been kept in the dark about this for decades. The truth can no longer be hidden from the public.,1
LEAKED: CIA documents prove moon landing was filmed in Hollywood,New documents released by a courageous whistleblower reveal the shocking extent of the deception. Millions of Americans have been kept in the dark about this for decades. The truth can no longer be hidden from the public. New documents released by a courageous whistleblower reveal the shocking extent of the deception. Millions of Americans have been kept in the dark about this for decades. The truth can no longer be hidden from the public.,1
Scientists discover new species of deep-sea fish in Pacific Ocean,"The findings, published in a peer-reviewed journal, represent months of careful research by a team of specialists. The study involved participants from multiple regions and followed established scientific protocols. The findings, published in a peer-reviewed journal, represent months of careful research by a team of specialists. The study involved participants from multiple regions and followed established scientific protocols.",0
SHOCKING: Government secretly puts chemicals in water supply to control population,An anonymous insider with top-level security clearance has gone on record to expose the lies we have been told our entire lives. The evidence is overwhelming and irrefutable. Do your own research and wake up to what is happening. An anonymous insider with top-level security clearance has gone on record to expose the lies we have been told our entire lives. The evidence is overwhelming and irrefutable. Do your own research and wake up to what is happening.,1
New world order meeting held in secret underground bunker confirmed,A leaked document obtained by independent researchers shows what the deep state does not want you to know. Share this before it gets deleted. The truth is being suppressed by powerful interests who control what you see and hear. A leaked document obtained by independent researchers shows what the deep state does not want you to know. Share this before it gets deleted. The truth is being suppressed by powerful interests who control what you see and hear.,1
Local hospital opens new cancer treatment center after fundraising campaign,"According to official statements released on Tuesday, the decision was made following extensive review by a committee of experts. The move is expected to have significant implications for the sector in the coming months. According to official statements released on Tuesday, the decision was made following extensive review by a committee of experts. The move is expected to have significant implications for the sector in the coming months.",0
Ancient ruins found on Mars confirm civilization existed,An anonymous insider with top-level security clearance has gone on record to expose the lies we have been told our entire lives. The evidence is overwhelming and irrefutable. Do your own research and wake up to what is happening. An anonymous insider with top-level security clearance has gone on record to expose the lies we have been told our entire lives. The evidence is overwhelming and irrefutable. Do your own research and wake up to what is happening.,1
Tech company announces quarterly earnings above analyst expectations,"Government officials confirmed the policy change in an official statement, noting that the decision was reached after consultation with relevant stakeholders. Implementation is expected to begin in the next fiscal quarter. Government officials confirmed the policy change in an official statement, noting that the decision was reached after consultation with relevant stakeholders. Implementation is expected to begin in the next fiscal quarter.",0
Annual report shows improvement in national literacy rates among children,"The report, compiled from data gathered over the past two years, presents a comprehensive analysis of trends in the industry. Analysts say the results align with broader economic patterns observed in recent quarters. The report, compiled from data gathered over the past two years, presents a comprehensive analysis of trends in the industry. Analysts say the results align with broader economic patterns observed in recent quarters.",0
Study finds Mediterranean diet linked to improved heart health outcomes,"According to official statements released on Tuesday, the decision was made following extensive review by a committee of experts. The move is expected to have significant implications for the sector in the coming months. According to official statements released on Tuesday, the decision was made following extensive review by a committee of experts. The move is expected to have significant implications for the sector in the coming months.",0
Public health officials report decline in flu cases this season,"According to official statements released on Tuesday, the decision was made following extensive review by a committee of experts. The move is expected to have significant implications for the sector in the coming months. According to official statements released on Tuesday, the decision was made following extensive review by a committee of experts. The move is expected to have significant implications for the sector in the coming months.",0
Tech company admits to mind-reading technology installed in smartphones,A leaked document obtained by independent researchers shows what the deep state does not want you to know. Share this before it gets deleted. The truth is being suppressed by powerful interests who control what you see and hear. A leaked document obtained by independent researchers shows what the deep state does not want you to know. Share this before it gets deleted. The truth is being suppressed by powerful interests who control what you see and hear.,1
Annual report shows improvement in national literacy rates among children,"Government officials confirmed the policy change in an official statement, noting that the decision was reached after consultation with relevant stakeholders. Implementation is expected to begin in the next fiscal quarter. Government officials confirmed the policy change in an official statement, noting that the decision was reached after consultation with relevant stakeholders. Implementation is expected to begin in the next fiscal quarter.",0
Mainstream media admits to fabricating all news stories since 2010,New documents released by a courageous whistleblower reveal the shocking extent of the deception. Millions of Americans have been kept in the dark about this for decades. The truth can no longer be hidden from the public. New documents released by a courageous whistleblower reveal the shocking extent of the deception. Millions of Americans have been kept in the dark about this for decades. The truth can no longer be hidden from the public.,1
Secret treaty hands US sovereignty to United Nations,A leaked document obtained by independent researchers shows what the deep state does not want you to know. Share this before it gets deleted. The truth is being suppressed by powerful interests who control what you see and hear. A leaked document obtained by independent researchers shows what the deep state does not want you to know. Share this before it gets deleted. The truth is being suppressed by powerful interests who control what you see and hear.,1
"Central bank holds interest rates steady, cites economic uncertainty","The findings, published in a peer-reviewed journal, represent months of careful research by a team of specialists. The study involved participants from multiple regions and followed established scientific protocols. The findings, published in a peer-reviewed journal, represent months of careful research by a team of specialists. The study involved participants from multiple regions and followed established scientific protocols.",0
Study finds Mediterranean diet linked to improved heart health outcomes,"Government officials confirmed the policy change in an official statement, noting that the decision was reached after consultation with relevant stakeholders. Implementation is expected to begin in the next fiscal quarter. Government officials confirmed the policy change in an official statement, noting that the decision was reached after consultation with relevant stakeholders. Implementation is expected to begin in the next fiscal quarter.",0
Bill Gates admits microchips inserted into COVID vaccines in secret recording,Exclusive sources from inside the organization have confirmed what conspiracy theorists have been saying for years. The mainstream media will not report this because they are controlled by the same people who are behind this cover-up. Exclusive sources from inside the organization have confirmed what conspiracy theorists have been saying for years. The mainstream media will not report this because they are controlled by the same people who are behind this cover-up.,1
Banks planning to seize all personal accounts next week,An anonymous insider with top-level security clearance has gone on record to expose the lies we have been told our entire lives. The evidence is overwhelming and irrefutable. Do your own research and wake up to what is happening. An anonymous insider with top-level security clearance has gone on record to expose the lies we have been told our entire lives. The evidence is overwhelming and irrefutable. Do your own research and wake up to what is happening.,1
City council approves new budget for road infrastructure repairs,"According to official statements released on Tuesday, the decision was made following extensive review by a committee of experts. The move is expected to have significant implications for the sector in the coming months. According to official statements released on Tuesday, the decision was made following extensive review by a committee of experts. The move is expected to have significant implications for the sector in the coming months.",0
Hollywood celebrity arrested for running child trafficking ring,An anonymous insider with top-level security clearance has gone on record to expose the lies we have been told our entire lives. The evidence is overwhelming and irrefutable. Do your own research and wake up to what is happening. An anonymous insider with top-level security clearance has gone on record to expose the lies we have been told our entire lives. The evidence is overwhelming and irrefutable. Do your own research and wake up to what is happening.,1
Study finds Mediterranean diet linked to improved heart health outcomes,"Government officials confirmed the policy change in an official statement, noting that the decision was reached after consultation with relevant stakeholders. Implementation is expected to begin in the next fiscal quarter. Government officials confirmed the policy change in an official statement, noting that the decision was reached after consultation with relevant stakeholders. Implementation is expected to begin in the next fiscal quarter.",0
Secret treaty hands US sovereignty to United Nations,Sources close to the government have revealed shocking information that mainstream media refuses to cover. Multiple whistleblowers have come forward with evidence that cannot be ignored by anyone who is paying attention to what is really going on in our world today. Sources close to the government have revealed shocking information that mainstream media refuses to cover. Multiple whistleblowers have come forward with evidence that cannot be ignored by anyone who is paying attention to what is really going on in our world today.,1
Study finds Mediterranean diet linked to improved heart health outcomes,"Government officials confirmed the policy change in an official statement, noting that the decision was reached after consultation with relevant stakeholders. Implementation is expected to begin in the next fiscal quarter. Government officials confirmed the policy change in an official statement, noting that the decision was reached after consultation with relevant stakeholders. Implementation is expected to begin in the next fiscal quarter.",0
Global elite planning to reduce world population by 90 percent,Sources close to the government have revealed shocking information that mainstream media refuses to cover. Multiple whistleblowers have come forward with evidence that cannot be ignored by anyone who is paying attention to what is really going on in our world today. Sources close to the government have revealed shocking information that mainstream media refuses to cover. Multiple whistleblowers have come forward with evidence that cannot be ignored by anyone who is paying attention to what is really going on in our world today.,1
Ancient ruins found on Mars confirm civilization existed,A leaked document obtained by independent researchers shows what the deep state does not want you to know. Share this before it gets deleted. The truth is being suppressed by powerful interests who control what you see and hear. A leaked document obtained by independent researchers shows what the deep state does not want you to know. Share this before it gets deleted. The truth is being suppressed by powerful interests who control what you see and hear.,1
"5G towers proven to spread coronavirus, study reveals",Exclusive sources from inside the organization have confirmed what conspiracy theorists have been saying for years. The mainstream media will not report this because they are controlled by the same people who are behind this cover-up. Exclusive sources from inside the organization have confirmed what conspiracy theorists have been saying for years. The mainstream media will not report this because they are controlled by the same people who are behind this cover-up.,1
"Democrats planning to ban all guns by end of month, secret memo leaked",Sources close to the government have revealed shocking information that mainstream media refuses to cover. Multiple whistleblowers have come forward with evidence that cannot be ignored by anyone who is paying attention to what is really going on in our world today. Sources close to the government have revealed shocking information that mainstream media refuses to cover. Multiple whistleblowers have come forward with evidence that cannot be ignored by anyone who is paying attention to what is really going on in our world today.,1
